Accel_X,Accel_Y,Accel_Z
63,33,106
59,35,104
59,32,100
54,36,105
61,37,105
58,36,107
53,35,102
56,38,108
61,35,105
58,37,109
55,31,102
60,30,102
62,28,98
54,28,98
61,23,95
57,25,99
59,29,103
59,31,104
61,30,102
64,20,98
68,31,100
62,23,98
54,29,109
57,29,110
63,28,105
62,26,106
57,22,111
65,21,106
70,23,104
65,34,113
64,33,119
63,28,110
59,27,110
63,23,103
68,24,108
63,23,114
61,16,103
51,11,103
53,8,104
53,7,101
59,7,105
62,4,104
67,1,104
67,0,102
69,-3,100
72,-6,97
64,-4,96
57,-1,96
55,-4,92
54,-5,90
50,-5,89
44,-6,83
42,-5,82
46,-3,81
46,-1,79
44,0,77
42,1,76
46,7,76
45,11,78
37,14,78
31,14,76
28,14,72
25,11,67
30,11,66
32,11,64
31,14,63
26,12,60
31,20,62
29,23,62
28,29,68
30,30,67
28,27,60
26,22,53
21,19,48
21,18,44
21,17,42
21,21,44
24,26,47
30,35,55
44,43,67
48,50,75
49,55,83
45,58,87
40,58,88
37,58,88
36,58,86
37,59,91
36,60,93
39,64,100
40,64,103
37,66,106
36,67,108
36,66,109
32,65,110
30,63,108
29,60,107
28,58,107
30,55,106
28,50,106
30,48,106
31,44,106
31,40,105
33,38,102
35,33,100
37,31,99
37,29,98
37,27,97
36,27,98
35,27,98
40,27,98
38,26,98
36,25,96
36,25,97
33,25,95
34,26,96
33,26,96
34,26,95
36,27,96
35,27,95
33,27,94
34,27,93
34,27,94
34,28,94
32,28,93
34,28,94
32,28,95
30,28,94
30,29,94
30,30,96
31,31,98
33,32,99
33,30,97
34,28,94
35,27,94
35,27,94
35,28,95
33,29,95
34,29,96
33,30,98
32,30,97
33,30,97
35,29,97
35,29,98
34,29,98
35,28,97
34,27,96
34,27,97
33,28,97
34,28,97
34,29,99
32,29,98
34,28,97
36,27,96
33,27,95
35,26,95
33,25,94
33,25,94
35,26,96
34,27,97
35,25,95
34,24,94
35,23,94
34,26,96
31,27,96
33,29,98
31,27,97
33,26,96
34,26,96
32,27,96
34,26,95
35,27,96
33,27,95
33,27,94
33,26,94
33,26,94
31,26,95
31,25,94
31,25,94
33,25,95
32,24,93
