Accel_X,Accel_Y,Accel_Z
42,3,136
39,7,140
45,4,141
46,1,137
51,-2,134
53,-3,129
51,-6,123
49,-7,116
47,-5,111
45,-1,107
47,6,110
49,11,110
43,15,107
41,17,101
39,19,95
35,22,91
38,21,82
40,21,76
33,23,69
30,29,71
30,38,75
27,42,75
17,49,75
13,51,76
8,51,72
3,51,64
4,52,64
7,52,63
7,52,63
5,49,57
9,47,60
9,49,60
10,52,63
14,58,70
18,60,75
19,61,75
20,60,73
21,61,80
26,61,84
32,61,87
30,60,84
30,57,80
32,58,81
32,60,87
37,62,95
38,62,96
40,58,95
39,58,93
35,57,93
34,57,94
32,58,95
31,58,95
31,57,93
32,56,93
31,57,96
26,58,95
27,60,96
28,63,99
29,66,100
31,71,102
32,76,106
29,82,109
28,87,113
28,89,114
26,94,117
23,98,120
19,102,121
20,104,121
21,106,120
24,103,118
25,99,112
27,97,107
28,95,105
29,93,101
31,87,96
29,82,90
25,79,86
24,76,85
25,70,83
26,65,81
23,60,78
17,52,77
12,45,72
10,34,69
5,29,70
1,22,68
3,13,71
6,6,72
13,0,72
21,-6,77
20,-11,77
23,-15,78
23,-18,81
25,-21,83
30,-24,86
28,-27,86
28,-30,85
27,-32,86
31,-31,89
33,-29,93
34,-28,95
32,-27,94
33,-24,95
32,-20,96
30,-17,97
27,-11,98
24,-8,97
25,-6,95
24,-3,94
24,0,93
24,0,93
27,1,94
28,2,92
30,1,87
35,0,83
42,-2,81
44,-1,80
44,0,81
44,0,81
44,-2,76
44,-6,74
44,-12,67
45,-18,60
46,-23,54
49,-26,48
50,-25,45
49,-24,42
46,-15,45
46,-3,56
47,8,66
41,15,73
36,21,78
34,18,73
31,15,62
36,15,61
33,26,65
32,35,74
30,49,89
33,56,99
27,55,96
12,62,98
6,64,94
3,71,101
7,75,109
14,77,113
24,75,115
33,67,106
21,74,102
10,87,114
-149,163,301
-16,125,133
0,92,119
6,97,117
17,93,114
22,88,103
22,85,93
30,97,104
24,113,124
24,127,138
22,127,139
21,119,131
24,114,128
29,113,127
29,112,129
27,108,123
22,106,117
16,108,115
16,107,112
13,107,107
12,103,97
16,103,96
23,101,92
25,102,92
21,100,86
21,96,82
25,101,84
24,100,88
24,94,79
32,90,79
27,89,80
