Accel_X,Accel_Y,Accel_Z
28,15,80
17,29,92
18,42,112
20,52,130
19,54,134
20,48,125
22,33,101
18,30,94
12,36,99
11,42,102
23,45,110
29,48,118
27,46,111
22,41,99
15,42,94
13,38,88
5,44,91
2,49,96
11,56,102
20,59,108
63,57,75
15,64,132
19,56,110
22,58,107
16,60,113
14,59,110
19,60,113
22,64,119
27,65,120
27,67,124
24,65,118
22,66,119
21,66,120
23,67,120
19,66,119
19,68,120
17,68,119
13,70,119
11,70,118
10,69,114
9,66,106
11,64,104
11,64,103
15,64,101
17,64,101
21,65,93
14,64,98
21,61,92
25,69,99
24,72,107
19,68,111
22,70,102
26,68,99
18,63,92
1,59,83
2,57,87
12,56,91
22,53,85
27,51,90
31,47,95
30,45,87
36,42,87
28,36,82
24,29,73
19,24,70
16,20,65
16,20,65
16,20,70
24,20,77
19,13,93
32,14,76
37,8,74
34,7,72
38,4,75
37,1,76
35,5,80
33,11,89
34,12,94
38,10,105
40,8,109
56,2,104
57,0,110
65,-3,107
65,-9,105
58,-9,99
55,-7,102
51,-10,105
49,-9,95
47,-11,91
48,-9,96
45,-7,98
42,-5,98
44,-2,97
42,-3,95
38,-1,94
39,0,92
37,1,93
41,2,91
40,5,94
37,7,96
33,9,96
35,11,96
35,13,96
35,15,96
32,16,95
31,18,96
29,19,95
28,18,93
27,18,96
31,19,93
30,21,97
29,23,98
30,23,98
31,22,97
32,19,93
34,20,92
32,21,93
32,20,95
34,22,95
33,22,95
30,22,96
30,22,95
32,22,95
32,22,95
33,21,96
33,21,94
32,21,94
31,19,95
33,20,94
30,18,91
31,18,90
32,19,93
31,20,94
30,21,94
30,20,94
29,21,94
29,20,95
30,22,96
32,22,97
32,21,97
31,19,93
30,18,91
33,20,93
36,20,99
32,20,97
29,19,93
30,18,91
30,18,94
31,20,97
31,20,98
31,19,96
30,19,95
35,17,95
34,18,94
33,17,93
32,17,94
33,17,93
34,17,93
33,17,94
34,17,92
31,18,93
31,18,94
34,20,97
34,20,99
33,20,97
32,19,96
32,18,94
32,18,96
29,20,96
30,19,94
30,19,93
28,18,92
29,18,92
30,18,92
30,18,93
30,19,94
31,19,94
30,19,96
29,20,96
27,19,94
